,kdig-->kdit,ig-->it,it-->IncludeInReports
0,DeactivateSubject-->EndLogPadUse,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
1,~~~ MISMATCH ~~~,DeactivateSubject-->PT,PT-->SPEndDate
2,~~~ MISMATCH ~~~,DeactivateSubject-->PT,PT-->SPEndDate
3,DeactivateSubject-->PhaseAtEntry,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
4,DeactivateSubject-->PhaseStartDate,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
5,DeactivateSubject-->ReasonfordeactivatingSubject,DeactivateSubject-->ReasonfordeactivatingSubject,ReasonfordeactivatingSubject-->False
6,DeactivateSubject-->SPEndDate,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
7,EligibilityReport-->SDYARM1L,EligibilityReport-->SDYARM1L,SDYARM1L-->True
8,EligibilityReport-->SUBCON1L,EligibilityReport-->SUBCON1L,SUBCON1L-->True
9,EligibilityReport-->VST1L,EligibilityReport-->VST1L,VST1L-->False
10,MFSAFv4-->SEVBLT1L,MFSAFv4-->SEVBLT1L,SEVBLT1L-->True
11,MFSAFv4-->SEVBON1L,MFSAFv4-->SEVBON1L,SEVBON1L-->True
12,MFSAFv4-->SEVFAT1L,MFSAFv4-->SEVFAT1L,SEVFAT1L-->True
13,MFSAFv4-->SEVITC1L,MFSAFv4-->SEVITC1L,SEVITC1L-->True
14,MFSAFv4-->SEVNSW1L,MFSAFv4-->SEVNSW1L,SEVNSW1L-->True
15,MFSAFv4-->SEVRIB1L,MFSAFv4-->SEVRIB1L,SEVRIB1L-->True
16,MFSAFv4-->VST1L,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
17,MFSAFv4-->WORFUL1L,MFSAFv4-->WORFUL1L,WORFUL1L-->True
18,~~~ MISMATCH ~~~,MFSAFv4.0-->VST1L,VST1L-->False
19,PGIC-->PGICHA1L,PGIC-->PGICHA1L,PGICHA1L-->True
20,PGIC-->VST1L,PGIC-->VST1L,VST1L-->False
21,QLQC30T-->APP1B,QLQC30T-->APP1B,APP1B-->True
22,QLQC30T-->APP1L,QLQC30T-->APP1L,APP1L-->True
23,QLQC30T-->BED1B,QLQC30T-->BED1B,BED1B-->True
24,QLQC30T-->BED1L,QLQC30T-->BED1L,BED1L-->True
25,QLQC30T-->CNC1B,QLQC30T-->CNC1B,CNC1B-->True
26,QLQC30T-->CNC1L,QLQC30T-->CNC1L,CNC1L-->True
27,QLQC30T-->CNS1B,QLQC30T-->CNS1B,CNS1B-->True
28,QLQC30T-->CNS1L,QLQC30T-->CNS1L,CNS1L-->True
29,QLQC30T-->DEP1B,QLQC30T-->DEP1B,DEP1B-->True
30,QLQC30T-->DEP1L,QLQC30T-->DEP1L,DEP1L-->True
31,QLQC30T-->DIA1B,QLQC30T-->DIA1B,DIA1B-->True
32,QLQC30T-->DIA1L,QLQC30T-->DIA1L,DIA1L-->True
33,QLQC30T-->FINDIF1B,QLQC30T-->FINDIF1B,FINDIF1B-->True
34,QLQC30T-->FINDIF1L,QLQC30T-->FINDIF1L,FINDIF1L-->True
35,QLQC30T-->HLP1B,QLQC30T-->HLP1B,HLP1B-->True
36,QLQC30T-->HLP1L,QLQC30T-->HLP1L,HLP1L-->True
37,QLQC30T-->HLT1B,QLQC30T-->HLT1B,HLT1B-->True
38,QLQC30T-->HLT1N,QLQC30T-->HLT1N,HLT1N-->True
39,QLQC30T-->IRR1B,QLQC30T-->IRR1B,IRR1B-->True
40,QLQC30T-->IRR1L,QLQC30T-->IRR1L,IRR1L-->True
41,QLQC30T-->ITFFAM1B,QLQC30T-->ITFFAM1B,ITFFAM1B-->True
42,QLQC30T-->ITFFAM1L,QLQC30T-->ITFFAM1L,ITFFAM1L-->True
43,QLQC30T-->ITFSOC1B,QLQC30T-->ITFSOC1B,ITFSOC1B-->True
44,QLQC30T-->ITFSOC1L,QLQC30T-->ITFSOC1L,ITFSOC1L-->True
45,QLQC30T-->LIMHOB1B,QLQC30T-->LIMHOB1B,LIMHOB1B-->True
46,QLQC30T-->LIMHOB1L,QLQC30T-->LIMHOB1L,LIMHOB1L-->True
47,QLQC30T-->LIMWRK1B,QLQC30T-->LIMWRK1B,LIMWRK1B-->True
48,QLQC30T-->LIMWRK1L,QLQC30T-->LIMWRK1L,LIMWRK1L-->True
49,QLQC30T-->LONWLK1B,QLQC30T-->LONWLK1B,LONWLK1B-->True
50,QLQC30T-->LONWLK1L,QLQC30T-->LONWLK1L,LONWLK1L-->True
51,QLQC30T-->MEM1B,QLQC30T-->MEM1B,MEM1B-->True
52,QLQC30T-->MEM1L,QLQC30T-->MEM1L,MEM1L-->True
53,QLQC30T-->NAU1B,QLQC30T-->NAU1B,NAU1B-->True
54,QLQC30T-->NAU1L,QLQC30T-->NAU1L,NAU1L-->True
55,QLQC30T-->PAN1B,QLQC30T-->PAN1B,PAN1B-->True
56,QLQC30T-->PAN1L,QLQC30T-->PAN1L,PAN1L-->True
57,QLQC30T-->PANITF1B,QLQC30T-->PANITF1B,PANITF1B-->True
58,QLQC30T-->PANITF1L,QLQC30T-->PANITF1L,PANITF1L-->True
59,QLQC30T-->QOL1B,QLQC30T-->QOL1B,QOL1B-->True
60,QLQC30T-->QOL1N,QLQC30T-->QOL1N,QOL1N-->True
61,QLQC30T-->RST1B,QLQC30T-->RST1B,RST1B-->True
62,QLQC30T-->RST1L,QLQC30T-->RST1L,RST1L-->True
63,QLQC30T-->SHTBRT1B,QLQC30T-->SHTBRT1B,SHTBRT1B-->True
64,QLQC30T-->SHTBRT1L,QLQC30T-->SHTBRT1L,SHTBRT1L-->True
65,QLQC30T-->SLP1B,QLQC30T-->SLP1B,SLP1B-->True
66,QLQC30T-->SLP1L,QLQC30T-->SLP1L,SLP1L-->True
67,QLQC30T-->SRNACT1B,QLQC30T-->SRNACT1B,SRNACT1B-->True
68,QLQC30T-->SRNACT1L,QLQC30T-->SRNACT1L,SRNACT1L-->True
69,QLQC30T-->SRTWLK1B,QLQC30T-->SRTWLK1B,SRTWLK1B-->True
70,QLQC30T-->SRTWLK1L,QLQC30T-->SRTWLK1L,SRTWLK1L-->True
71,QLQC30T-->TIR1B,QLQC30T-->TIR1B,TIR1B-->True
72,QLQC30T-->TIR1L,QLQC30T-->TIR1L,TIR1L-->True
73,QLQC30T-->TNS1B,QLQC30T-->TNS1B,TNS1B-->True
74,QLQC30T-->TNS1L,QLQC30T-->TNS1L,TNS1L-->True
75,QLQC30T-->VOM1B,QLQC30T-->VOM1B,VOM1B-->True
76,QLQC30T-->VOM1L,QLQC30T-->VOM1L,VOM1L-->True
77,QLQC30T-->VST1L,QLQC30T-->VST1L,VST1L-->False
78,QLQC30T-->WEK1B,QLQC30T-->WEK1B,WEK1B-->True
79,QLQC30T-->WEK1L,QLQC30T-->WEK1L,WEK1L-->True
80,QLQC30T-->WOR1B,QLQC30T-->WOR1B,WOR1B-->True
81,QLQC30T-->WOR1L,QLQC30T-->WOR1L,WOR1L-->True
82,~~~ MISMATCH ~~~,TFQL-->VST1L,VST1L-->False
83,~~~ MISMATCH ~~~,TFQLauncher-->,-->False
84,TFQLauncher-->TFQCNF1L,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
85,TFQLauncher-->VST1L,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
86,TTrainingModule-->TRCNF1L,TTrainingModule-->TRCNF1L,TRCNF1L-->True
87,~~~ MISMATCH ~~~,TTrainingModule-->TRNCNF1B,TRNCNF1B-->False
