,kdig-->kdit,ig-->it,it-->IncludeInReports
0,ACQ5T-->ACQ5SC1N,ACQ5T-->ACQ5SC1N,ACQ5SC1N-->True
1,ACQ5T-->ACTLTD1L,ACQ5T-->ACTLTD1L,ACTLTD1L-->True
2,ACQ5T-->ASMSYM1L,ACQ5T-->ASMSYM1L,ASMSYM1L-->True
3,ACQ5T-->BREATH1L,ACQ5T-->BREATH1L,BREATH1L-->True
4,ACQ5T-->WHEEZE1L,ACQ5T-->WHEEZE1L,WHEEZE1L-->True
5,ACQ5T-->WKNASM1L,ACQ5T-->WKNASM1L,WKNASM1L-->True
6,ContinuationReport-->CONCNF1L,ContinuationReport-->CONCNF1L,CONCNF1L-->True
7,ContinuationReport-->PTCustom5,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
8,DOCLoop-->DELETE1B,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
9,DOCLoop-->DOCSTY1N,DOCLoop-->DOCSTY1N,DOCSTY1N-->True
10,DOCLoop-->DOCVST1N,DOCLoop-->DOCVST1N,DOCVST1N-->False
11,DeactivateSubject-->EndLogPadUse,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
12,DeactivateSubject-->PhaseAtEntry,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
13,DeactivateSubject-->PhaseStartDate,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
14,DeactivateSubject-->ReasonfordeactivatingSubject,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
15,DeactivateSubject-->SPEndDate,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
16,EligibilityReport-->ELG1L,EligibilityReport-->ELG1L,ELG1L-->True
17,EveningDiary-->AVGPAN2N,EveningDiary-->AVGPAN2N,AVGPAN2N-->True
18,EveningDiary-->WRSPAN2N,EveningDiary-->WRSPAN2N,WRSPAN2N-->True
19,HHTrainingModule-->DELETE1B,~~~ MISMATCH ~~~,~~~ MISMATCH ~~~
20,HHTrainingModule-->TRNCNF1L,HHTrainingModule-->TRNCNF1L,TRNCNF1L-->False
21,HRU-->DOCVIS1L,HRU-->DOCVIS1L,DOCVIS1L-->True
22,HRU-->SHPVST1L,HRU-->SHPVST1L,SHPVST1L-->True
23,HRU-->SPEVIS1L,HRU-->SPEVIS1L,SPEVIS1L-->True
24,HRU-->SPEVIS1N,HRU-->SPEVIS1N,SPEVIS1N-->True
25,HRU-->TOTVST1N,HRU-->TOTVST1N,TOTVST1N-->False
26,HRU-->VST1L,HRU-->VST1L,VST1L-->True
27,MorningDiary-->AVGPAN2N,MorningDiary-->AVGPAN2N,AVGPAN2N-->True
28,MorningDiary-->GENWEL1N,MorningDiary-->GENWEL1N,GENWEL1N-->True
29,MorningDiary-->WRSPAN2N,MorningDiary-->WRSPAN2N,WRSPAN2N-->True
30,PHQ9-->PHQ9011L,PHQ9-->PHQ9011L,PHQ9011L-->True
31,PHQ9-->PHQ9011L,PHQ9-->PHQ9011L,PHQ9011L-->True
32,PHQ9-->PHQ9021L,PHQ9-->PHQ9021L,PHQ9021L-->True
33,PHQ9-->PHQ9021L,PHQ9-->PHQ9021L,PHQ9021L-->True
34,PHQ9-->PHQ9031L,PHQ9-->PHQ9031L,PHQ9031L-->True
35,PHQ9-->PHQ9031L,PHQ9-->PHQ9031L,PHQ9031L-->True
36,PHQ9-->PHQ9041L,PHQ9-->PHQ9041L,PHQ9041L-->True
37,PHQ9-->PHQ9041L,PHQ9-->PHQ9041L,PHQ9041L-->True
38,PHQ9-->PHQ9051L,PHQ9-->PHQ9051L,PHQ9051L-->True
39,PHQ9-->PHQ9051L,PHQ9-->PHQ9051L,PHQ9051L-->True
