,kdsu-->kdig,su-->ig
0,ACQ5T-->ACQ5T,ACQ5T-->ACQ5T
1,ContinuationReport-->ContinuationReport,ContinuationReport-->ContinuationReport
2,DeactivateSubject-->DeactivateSubject,~~~ MISMATCH ~~~
3,EligibilityReport-->EligibilityReport,EligibilityReport-->EligibilityReport
4,EveningDiary-->EveningDiary,EveningDiary-->EveningDiary
5,HHTrainingModule-->HHTrainingModule,HHTrainingModule-->HHTrainingModule
6,HRU-->DOCLoop,HRU-->DOCLoop
7,HRU-->HRU,HRU-->HRU
8,HRU-->SHPLoop,HRU-->SHPLoop
9,MorningDiary-->MorningDiary,MorningDiary-->MorningDiary
10,PHQ-->PHQ9,PHQ-->PHQ9
11,PHQHandheld-->PHQ9,PHQHandheld-->PHQ9
12,TabletTrainingModule-->TabletTrainingModule,TabletTrainingModule-->TabletTrainingModule
13,WPAISHP-->WPAI,WPAISHP-->WPAI
