             kdsu_name              su_name
0          Daily Diary          Daily Diary
1   Deactivate Subject     ~~~ MISMATCH ~~~
2   Eligibility Report   Eligibility Report
3     Medication Diary     Medication Diary
4  Migraine Pain Diary  Migraine Pain Diary
5      Migraine Report      Migraine Report
6       Practice Diary       Practice Diary

                kdsu                 su
0         DailyDiary         DailyDiary
1  DeactivateSubject   ~~~ MISMATCH ~~~
2  EligibilityReport  EligibilityReport
3   HHTrainingModule   HHTrainingModule
4    MedicationDiary    MedicationDiary
5  MigrainePainDiary  MigrainePainDiary
6     MigraineReport     MigraineReport

                             kdsu-->kdig                                su-->ig
0                DailyDiary-->DailyDiary                DailyDiary-->DailyDiary
1  DeactivateSubject-->DeactivateSubject  EligibilityReport-->EligibilityReport
2  EligibilityReport-->EligibilityReport    HHTrainingModule-->HHTrainingModule
3    HHTrainingModule-->HHTrainingModule     MedicationDiary-->Medication Diary
4      MedicationDiary-->MedicationDiary      MedicationDiary-->MedicationDiary
5  MigrainePainDiary-->MigrainePainDiary  MigrainePainDiary-->MigrainePainDiary
6        MigraineReport-->MigraineReport        MigraineReport-->MigraineReport

                                         kdig-->kdit                       ig-->it
0                              DailyDiary-->DLYCNF1B         DailyDiary-->DLYCNF1B
1                   DeactivateSubject-->EndLogPadUse  EligibilityReport-->ELGCHK1L
2                   DeactivateSubject-->PhaseAtEntry  EligibilityReport-->ELGRPT1L
3                 DeactivateSubject-->PhaseStartDate  EligibilityReport-->QUAHCH1N
4   DeactivateSubject-->ReasonfordeactivatingSubject   HHTrainingModule-->TRNCNF1L
5                      DeactivateSubject-->SPEndDate   Medication Diary-->MIGRID1N
6                       EligibilityReport-->ELGCHK1L            MedicationDiary-->
7                       EligibilityReport-->ELGRPT1L            MedicationDiary-->
8                       EligibilityReport-->QUAHCH1N            MedicationDiary-->
9                        HHTrainingModule-->TRNCNF1L       MedicationDiary-->MED1L
10                           MedicationDiary-->MED1L       MedicationDiary-->MED1L
11                           MedicationDiary-->MED1N       MedicationDiary-->MED1N
12                           MedicationDiary-->MED1S       MedicationDiary-->MED1S
13                        MedicationDiary-->MIGRID1N    MedicationDiary-->OTHMED1C
14                        MedicationDiary-->OTHMED1C  MigrainePainDiary-->CURFUD1L
15                      MigrainePainDiary-->CURFUD1L  MigrainePainDiary-->CURNAU1B
16                      MigrainePainDiary-->CURNAU1B  MigrainePainDiary-->CURNON1B
17                      MigrainePainDiary-->CURNON1B  MigrainePainDiary-->CURPAI1L
18                      MigrainePainDiary-->CURPAI1L  MigrainePainDiary-->CURSEL1B
19                      MigrainePainDiary-->CURSEL1B  MigrainePainDiary-->CURSES1B
20                      MigrainePainDiary-->CURSES1B  MigrainePainDiary-->MIGRID1N
21                      MigrainePainDiary-->MIGRID1N     MigrainePainDiary-->PGI1L
22                         MigrainePainDiary-->PGI1L  MigrainePainDiary-->RSCMED1L
23                      MigrainePainDiary-->RSCMED1L  MigrainePainDiary-->SCRMED1L
24                      MigrainePainDiary-->SCRMED1L     MigrainePainDiary-->TMP1L
25                         MigrainePainDiary-->TMP1L  MigrainePainDiary-->VOMSIN1L
26                      MigrainePainDiary-->VOMSIN1L  MigrainePainDiary-->VOMTIM1T
27                      MigrainePainDiary-->VOMTIM1T     MigraineReport-->ALRTKN1L
28                         MigraineReport-->ALRTKN1L     MigraineReport-->CONMED1L
29                         MigraineReport-->CONMED1L     MigraineReport-->CONMIG1L
30                         MigraineReport-->CONMIG1L     MigraineReport-->CONYES1L
31                         MigraineReport-->CONYES1L     MigraineReport-->CURFUD1L
32                         MigraineReport-->CURFUD1L     MigraineReport-->CURNAU1B
33                         MigraineReport-->CURNAU1B     MigraineReport-->CURNON1B
34                         MigraineReport-->CURNON1B     MigraineReport-->CURPAI1L
35                         MigraineReport-->CURPAI1L     MigraineReport-->CURSEN1B
36                         MigraineReport-->CURSEN1B     MigraineReport-->DATEDO1D
37                         MigraineReport-->DATEDO1D     MigraineReport-->DATEMR1D
38                         MigraineReport-->DATEMR1D     MigraineReport-->DOSTIM2T
39                         MigraineReport-->DOSTIM2T     MigraineReport-->LOCPAI1L
40                         MigraineReport-->LOCPAI1L        MigraineReport-->MBS1L
41                            MigraineReport-->MBS1L        MigraineReport-->MBS1L
42                         MigraineReport-->MEDTKN1L     MigraineReport-->MEDTKN1L
43                         MigraineReport-->MIGEPS1L     MigraineReport-->MIGEPS1L
44                         MigraineReport-->MIGRID1N     MigraineReport-->MIGRID1N
45                         MigraineReport-->QUAPAI1L     MigraineReport-->QUAPAI1L
46                         MigraineReport-->TIM10P1D     MigraineReport-->TIM10P1D
47                         MigraineReport-->TIM11P1D     MigraineReport-->TIM11P1D
48                         MigraineReport-->TIM1PT1D     MigraineReport-->TIM1PT1D
49                         MigraineReport-->TIM2PT1D     MigraineReport-->TIM2PT1D
50                         MigraineReport-->TIM3PT1D     MigraineReport-->TIM3PT1D
51                         MigraineReport-->TIM4PT1D     MigraineReport-->TIM4PT1D
52                         MigraineReport-->TIM5PT1D     MigraineReport-->TIM5PT1D
53                         MigraineReport-->TIM6PT1D     MigraineReport-->TIM6PT1D
54                         MigraineReport-->TIM7PT1D     MigraineReport-->TIM7PT1D
55                         MigraineReport-->TIM8PT1D     MigraineReport-->TIM8PT1D
56                         MigraineReport-->TIM9PT1D     MigraineReport-->TIM9PT1D
57                         MigraineReport-->TIMEDO1T     MigraineReport-->TIMEDO1T
58                         MigraineReport-->TIMEMR1T     MigraineReport-->TIMEMR1T
59                         MigraineReport-->TKNANY1L     MigraineReport-->TKNANY1L

