                   kdsu_name                   su_name
0                      CDLQI                     CDLQI
1                       DLQI                      DLQI
2          Date Confirmation         Date Confirmation
3               Deactivation              Dosing Diary
4               Dosing Diary                  EQ-5D-5L
5                   EQ-5D-5L                   EQ-5D-Y
6                    EQ-5D-Y             FACIT-Fatigue
7              FACIT-Fatigue                      HADS
8                       HADS  Handheld Training Module
9   Handheld Training Module     Night Time Itch Scale
10     Night Time Itch Scale                      POEM
11                      POEM                     PSAAD
12                     PSAAD         Ped FACIT-Fatigue
13         Ped FACIT-Fatigue              Pruritus NRS
14              Pruritus NRS  Pruritus NRS Eligibility
15                      PtGA                      PtGA
16               SF-36 Acute               SF-36 Acute
17    Tablet Training Module    Tablet Training Module
18                   WPAI:AD                   WPAI:AD

                  kdsu                  su
0                CDLQI               CDLQI
1                 DLQI                DLQI
2             DateConf            DateConf
3    DeactivateSubject         DosingDiary
4          DosingDiary             EQ5D5LT
5              EQ5D5LT               EQ5DY
6                EQ5DY             FACITFT
7              FACITFT                HADS
8                 HADS    HHTrainingModule
9     HHTrainingModule  Nighttimeitchscale
10  NightTimeItchScale                POEM
11                POEM           PRUNRSELG
12               PSAAD               PSAAD
13     PedFACITFatigue     PedFACITFatigue
14       PruritusNRSHH       PruritusNRSHH
15                PtGA                PtGA
16              SFA36T              SFA36T
17                 TTM                 TTM
18              WPAIAD              WPAIAD

                                kdsu-->kdig                                  su-->ig
0                             CDLQI-->CDLQI                            CDLQI-->CDLQI
1                               DLQI-->DLQI                              DLQI-->DLQI
2                       DateConf-->DateConf                      DateConf-->DateConf
3     DeactivateSubject-->DeactivateSubject                         ~~~ MISMATCH ~~~
4                 DosingDiary-->DosingDiary                DosingDiary-->DosingDiary
5                         EQ5D5LT-->EQ5D5LT                        EQ5D5LT-->EQ5D5LT
6                             EQ5DY-->EQ5DY                            EQ5DY-->EQ5DY
7                         FACITFT-->FACITFT                        FACITFT-->FACITFT
8                               HADS-->HADS                              HADS-->HADS
9       HHTrainingModule-->HHTrainingModule      HHTrainingModule-->HHTrainingModule
10  NightTimeItchScale-->Nighttimeitchscale                         ~~~ MISMATCH ~~~
11                         ~~~ MISMATCH ~~~  Nighttimeitchscale-->Nighttimeitchscale
12                              POEM-->POEM                              POEM-->POEM
13                         ~~~ MISMATCH ~~~                    PRUNRSELG-->PRUNRSELG
14                            PSAAD-->PSAAD                            PSAAD-->PSAAD
15        PedFACITFatigue-->PedFACITFatigue        PedFACITFatigue-->PedFACITFatigue
16            PruritusNRSHH-->PruritusNRSHH            PruritusNRSHH-->PruritusNRSHH
17                         ~~~ MISMATCH ~~~                               PtGA-->PGA
18                              PtGA-->PtGA                              PtGA-->PtGA
19                          SFA36T-->SFA36T                          SFA36T-->SFA36T
20                                TTM-->TTM                                TTM-->TTM
21                          WPAIAD-->WPAIAD                          WPAIAD-->WPAIAD

                                          kdig-->kdit                        ig-->it       it-->IncludeInReports
0                                    CDLQI-->AFFSCL1L               CDLQI-->AFFSCL1L             AFFSCL1L-->True
1                                    CDLQI-->AFFSLP1L               CDLQI-->AFFSLP1L             AFFSLP1L-->True
2                                    CDLQI-->DIFSPT2L               CDLQI-->DIFSPT2L             DIFSPT2L-->True
3                                    CDLQI-->EMBSCS2L               CDLQI-->EMBSCS2L             EMBSCS2L-->True
4                                    CDLQI-->INFCLT2L               CDLQI-->INFCLT2L             INFCLT2L-->True
5                                    CDLQI-->INTEJY1L               CDLQI-->INTEJY1L             INTEJY1L-->True
6                                    CDLQI-->INTFRD1L               CDLQI-->INTFRD1L             INTFRD1L-->True
7                                    CDLQI-->ITCSOR2L               CDLQI-->ITCSOR2L             ITCSOR2L-->True
8                                    CDLQI-->LSTWEK1L               CDLQI-->LSTWEK1L             LSTWEK1L-->True
9                                    CDLQI-->SOCLSR2L               CDLQI-->SOCLSR2L             SOCLSR2L-->True
10                                   CDLQI-->TRBOTR1L               CDLQI-->TRBOTR1L             TRBOTR1L-->True
11                                   CDLQI-->TRTPRB1L               CDLQI-->TRTPRB1L             TRTPRB1L-->True
12                                      CDLQI-->VST1L                  CDLQI-->VST1L                VST1L-->True
13                                       DLQI-->CLT1L                   DLQI-->CLT1L                CLT1L-->True
14                                       DLQI-->EMB1L                   DLQI-->EMB1L                EMB1L-->True
15                                       DLQI-->ITC1L                   DLQI-->ITC1L                ITC1L-->True
16                                       DLQI-->PRT1L                   DLQI-->PRT1L                PRT1L-->True
17                                    DLQI-->PRVWRK1L                DLQI-->PRVWRK1L             PRVWRK1L-->True
18                                    DLQI-->SEXDIF1L                DLQI-->SEXDIF1L             SEXDIF1L-->True
19                                       DLQI-->SHP1L                   DLQI-->SHP1L                SHP1L-->True
20                                       DLQI-->SOC1L                   DLQI-->SOC1L                SOC1L-->True
21                                       DLQI-->SPT1L                   DLQI-->SPT1L                SPT1L-->True
22                                       DLQI-->TRT1L                   DLQI-->TRT1L                TRT1L-->True
23                                       DLQI-->VST1L               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
24                                    DLQI-->WRKSTD1L                DLQI-->WRKSTD1L             WRKSTD1L-->True
25                                DateConf-->ACTVST1L            DateConf-->ACTVST1L             ACTVST1L-->True
26                                DateConf-->SCHVST1L            DateConf-->SCHVST1L             SCHVST1L-->True
27                                   DateConf-->VST1L               DateConf-->VST1L                VST1L-->True
28                   DeactivateSubject-->EndLogPadUse               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
29   DeactivateSubject-->ReasonfordeactivatingSubject               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
30                      DeactivateSubject-->SPEndDate               ~~~ MISMATCH ~~~            ~~~ MISMATCH ~~~
31                             DosingDiary-->CONTIM1L         DosingDiary-->CONTIM1L             CONTIM1L-->True
